claim_id,claim_date,claim_report_date,policy_id,vehicle_age_years,claim_amount,days_to_report,previous_claims,city,garage_type,accident_type,fraud_flag
1,2024-04-12 00:00:00,2024-04-26 00:00:00,1102,19,26683.21,14,4,Pune,Authorized,Theft,1
2,2024-06-28 00:00:00,2024-06-30 00:00:00,1435,5,184326.69,2,3,Chennai,Local,Theft,1
3,2024-04-02 00:00:00,2024-04-11 00:00:00,1860,9,174239.48,9,1,Mumbai,Authorized,Flood,0
4,2024-01-15 00:00:00,2024-02-21 00:00:00,1270,12,104729.94,37,2,Hyderabad,Local,Fire,1
5,2024-04-16 00:00:00,2024-05-06 00:00:00,1106,1,119072.54,20,1,Bangalore,Authorized,Flood,0
6,2024-03-12 00:00:00,2024-04-07 00:00:00,1071,1,81002.54,26,0,Hyderabad,Authorized,Flood,1
7,2024-01-21 00:00:00,2024-02-19 00:00:00,1700,15,12842.8,29,1,Chennai,Local,Theft,1
8,2024-04-12 00:00:00,2024-04-13 00:00:00,1020,2,68369.05,1,0,Chennai,Authorized,Flood,0
9,2024-05-01 00:00:00,2024-06-05 00:00:00,1614,16,160964.98,35,0,Chennai,Local,Fire,1
10,2024-03-15 00:00:00,2024-03-21 00:00:00,1121,8,2917.14,6,2,Hyderabad,Local,Flood,0
11,2024-03-28 00:00:00,2024-05-04 00:00:00,1466,13,68032.84,37,3,Chennai,Authorized,Fire,1
12,2024-04-26 00:00:00,2024-05-01 00:00:00,1214,1,80837.4,5,1,Mumbai,Local,Fire,0
13,2024-04-09 00:00:00,2024-05-12 00:00:00,1330,16,108404.33,33,0,Chennai,Local,Theft,1
14,2024-04-13 00:00:00,2024-04-27 00:00:00,1458,7,184131.41,14,1,Delhi,Authorized,Collision,0
15,2024-05-31 00:00:00,2024-06-12 00:00:00,1087,5,70576.51,12,3,Hyderabad,Authorized,Collision,1
16,2024-05-10 00:00:00,2024-06-21 00:00:00,1372,3,70696.73,42,3,Delhi,Authorized,Theft,1
17,2024-05-29 00:00:00,2024-06-18 00:00:00,1099,12,148025.25,20,4,Chennai,Local,Flood,1
18,2024-02-22 00:00:00,2024-03-17 00:00:00,1871,16,91539.15,24,3,Mumbai,Local,Theft,1
19,2024-01-02 00:00:00,2024-02-14 00:00:00,1663,19,46471.75,43,2,Bangalore,Local,Fire,1
20,2024-03-28 00:00:00,2024-05-01 00:00:00,1130,5,91583.02,34,0,Pune,Local,Collision,1
21,2024-06-06 00:00:00,2024-07-01 00:00:00,1661,14,29889.69,25,4,Pune,Authorized,Theft,1
22,2024-02-07 00:00:00,2024-03-07 00:00:00,1308,5,36924.62,29,2,Chennai,Authorized,Flood,1
23,2024-05-09 00:00:00,2024-06-17 00:00:00,1769,15,100676.82,39,1,Mumbai,Local,Theft,1
24,2024-01-21 00:00:00,2024-02-21 00:00:00,1343,17,84947.24,31,0,Hyderabad,Authorized,Collision,1
